iter	Passed	Remaining
664	24494	19485
665	24532	19449
666	24569	19412
667	24607	19376
668	24645	19340
669	24685	19306
670	24723	19269
671	24759	19233
672	24793	19193
673	24833	19159
674	24869	19121
675	24908	19086
676	24945	19050
677	24982	19012
678	25022	18979
679	25061	18943
680	25104	18911
681	25141	18874
682	25179	18838
683	25218	18802
684	25260	18770
685	25299	18734
686	25335	18697
687	25373	18661
688	25410	18624
689	25445	18586
690	25484	18551
691	25523	18515
692	25565	18482
693	25603	18446
694	25642	18411
695	25681	18375
696	25720	18339
697	25761	18306
698	25798	18268
699	25833	18230
700	25869	18193
701	25908	18158
702	25944	18120
703	25980	18083
704	26025	18051
705	26061	18014
706	26097	17976
707	26132	17938
708	26173	17904
709	26212	17868
710	26246	17829
711	26282	17792
712	26322	17757
713	26361	17721
714	26400	17686
715	26434	17647
716	26470	17610
717	26508	17573
718	26547	17538
719	26583	17500
720	26622	17465
721	26659	17428
722	26702	17395
723	26743	17361
724	26781	17324
725	26822	17290
726	26855	17251
727	26894	17215
728	26932	17179
729	26969	17142
730	27007	17106
731	27048	17071
732	27089	17037
733	27131	17003
734	27164	16964
735	27201	16927
736	27241	16891
737	27278	16854
738	27322	16822
739	27361	16786
740	27400	16750
741	27438	16714
742	27475	16677
743	27512	16640
744	27550	16604
745	27586	16566
746	27626	16531
747	27664	16495
748	27705	16460
749	27739	16421
750	27777	16385
751	27816	16349
752	27850	16310
753	27887	16273
754	27922	16235
755	27961	16199
756	28000	16163
757	28042	16129
758	28080	16093
759	28119	16057
760	28154	16019
761	28192	15983
762	28231	15947
763	28267	15909
764	28301	15871
765	28336	15832
766	28374	15796
767	28409	15758
768	28446	15721
769	28486	15686
770	28526	15650
771	28565	15614
772	28606	15579
773	28646	15544
774	28684	15508
775	28719	15470
776	28755	15432
777	28796	15397
778	28835	15361
779	28867	15322
780	28908	15287
781	28946	15250
782	28987	15215
783	29025	15179
784	29062	15142
785	29102	15106
786	29143	15071
787	29179	15034
788	29217	14997
789	29262	14964
790	29302	14928
791	29339	14891
792	29380	14856
793	29417	14820
794	29458	14784
795	29494	14747
796	29529	14709
797	29569	14673
798	29607	14636
799	29645	14600
800	29680	14562
801	29721	14527
802	29764	14493
803	29803	14456
804	29842	14420
805	29881	14384
806	29916	14346
807	29952	14309
808	29992	14273
809	30035	14238
810	30073	14202
811	30111	14165
812	30147	14128
813	30185	14091
814	30224	14055
815	30263	14019
816	30306	13984
817	30343	13947
818	30383	13911
819	30421	13875
820	30465	13841
821	30509	13807
822	30552	13772
823	30595	13738
824	30633	13701
825	30675	13666
826	30718	13631
827	30761	13597
828	30799	13560
829	30844	13526
830	30899	13497
831	30941	13462
832	30979	13425
833	31015	13388
834	31052	13350
835	31091	13314
836	31123	13274
837	31161	13238
838	31200	13201
839	31236	13163
840	31273	13126
841	31310	13089
842	31345	13051
843	31381	13013
844	31416	12975
845	31454	12938
846	31494	12902
847	31529	12864
848	31565	12826
849	31603	12789
850	31640	12753
851	31679	12716
852	31717	12679
853	31748	12640
854	31782	12601
855	31815	12562
856	31855	12526
857	31888	12487
858	31926	12450
859	31965	12414
860	31998	12375
861	32036	12338
862	32075	12302
863	32117	12266
864	32155	12230
865	32193	12193
866	32231	12156
867	32270	12120
868	32308	12083
869	32344	12045
870	32384	12009
871	32423	11972
872	32461	11935
873	32496	11898
874	32534	11861
875	32573	11824
876	32612	11788
877	32650	11751
878	32686	11713
879	32724	11676
880	32758	11638
881	32794	11600
882	32832	11564
883	32869	11526
884	32905	11489
885	32940	11451
886	32978	11414
887	33011	11375
888	33047	11338
889	33083	11300
890	33120	11263
891	33159	11226
892	33194	11188
893	33229	11150
894	33267	11113
895	33305	11077
896	33343	11039
897	33381	11003
898	33418	10965
