iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false
213	0.9717395042	0.1055955543	0.9717395042	0.9479735556
214	0.9730194152	0.103404881	0.9730194152	0.9502158273
215	0.9729069629	0.1033524472	0.9729069629	0.9499424626
216	0.9729069629	0.1032452853	0.9729069629	0.9499424626
217	0.9738140345	0.1026030571	0.9738140345	0.9508479448
218	0.9739264922	0.1022430744	0.9739264922	0.9511213341
219	0.9739264922	0.1020774805	0.9739264922	0.9511213341
220	0.9736243113	0.1017565965	0.9736243113	0.9508196721
221	0.9737367932	0.101557973	0.9737367932	0.9510932106
222	0.974637585	0.09914790515	0.974637585	0.9532871972
223	0.9747503012	0.09912700673	0.9747503012	0.9535621575
224	0.9747503012	0.09908415469	0.9747503012	0.9535621575
225	0.9747503012	0.09908324114	0.9747503012	0.9535621575
226	0.9747503012	0.09907940988	0.9747503012	0.9535621575
227	0.9763332371	0.09699693958	0.9763332371	0.9561200924
228	0.9752014267	0.09602588872	0.9752014267	0.9546635865
229	0.9765220321	0.09550330772	0.9765220321	0.9561454126
230	0.9771622481	0.09500229082	0.9771622481	0.9572748268
231	0.9779527443	0.09419803078	0.9779527443	0.9579008074
232	0.9784794373	0.09326507298	0.9784794373	0.958753966
233	0.9782535329	0.09273535351	0.9782535329	0.9582012107
234	0.9781786458	0.09265964187	0.9781786458	0.9584535488
235	0.9797237788	0.08871345842	0.9797237788	0.9618055556
236	0.9820510775	0.0840930299	0.9820510775	0.9644611384
237	0.9840952141	0.07955241339	0.9840952141	0.9695033401
238	0.9840533472	0.0778883365	0.9840533472	0.9689585147
239	0.9842808432	0.07779831251	0.9842808432	0.969521045
240	0.9847653817	0.07705568547	0.9847653817	0.969837587
241	0.9847653817	0.07694618651	0.9847653817	0.969837587
242	0.9849929345	0.07686943384	0.9849929345	0.9704004643
243	0.9849929345	0.07684524237	0.9849929345	0.9704004643
244	0.9849929345	0.07681327508	0.9849929345	0.9704004643
245	0.984879145	0.07672395927	0.984879145	0.970118944
246	0.985334461	0.07394053839	0.985334461	0.9712460064
247	0.9860890927	0.07351083534	0.9860890927	0.9726744186
248	0.987256632	0.07055863366	0.987256632	0.9746872272
249	0.9873707668	0.07045838354	0.9873707668	0.9749708964
250	0.9870722189	0.07044312224	0.9870722189	0.9746724891
251	0.9873707668	0.0703873034	0.9873707668	0.9749708964
252	0.9873707668	0.07036755223	0.9873707668	0.9749708964
253	0.9873707668	0.07034430973	0.9873707668	0.9749708964
254	0.9873707668	0.07034071925	0.9873707668	0.9749708964
255	0.9874147791	0.06920334497	0.9874147791	0.9755244755
256	0.9874147791	0.06919469808	0.9874147791	0.9755244755
257	0.9889507332	0.06783477081	0.9889507332	0.9775706379
258	0.9892937787	0.0671521692	0.9892937787	0.978425656
259	0.989546257	0.06575011931	0.989546257	0.9781659389
260	0.9902554046	0.0637620354	0.9902554046	0.9790454016
898	0.260	0.9943435027	0.0471680631	0.9943435027	0.9888432179
